case_id,query_type,difficulty_level,retrieval_paradigm,target_regime,essential_chunk_count,supporting_chunk_count,first_relevant_rank,mrr,hit_rate@5,hit_rate@10,hit_rate@20,essential_recall@5,essential_recall@10,essential_recall@20,essential_precision@5,essential_precision@10,full_precision@5,full_precision@10,full_precision@20,ndcg@5,ndcg@10,ndcg@20
GOLD-PERS-025,Persona-Specific Applicability,Easy,simple_semantic,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-026,Persona-Specific Applicability,Medium,simple_semantic,1962,2,23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9596,0.9224
GOLD-PERS-027,Persona-Specific Applicability,Hard,multi_hop,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-029,Persona-Specific Applicability,Easy,simple_semantic,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-PERS-031,Persona-Specific Applicability,Easy,simple_semantic,2026,2,19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.9,0.85,1.0,0.9614,0.9247
GOLD-TEMP-001,Intra-Document Temporal Validation,Medium,hybrid_temporal,1962,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,1.0,1.0,1.0
GOLD-TEMP-002,Intra-Document Temporal Validation,Medium,hybrid_temporal,1962,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,1.0,1.0,1.0
GOLD-TEMP-003,Intra-Document Temporal Validation,Hard,hybrid_temporal,both,2,6,1,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.2,0.2,1.0,0.8,0.4,0.678,0.8103,0.8103
GOLD-TEMP-006,Intra-Document Temporal Validation,Hard,hybrid_temporal,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-008,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-010,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-012,Intra-Document Temporal Validation,Hard,hybrid_temporal,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-013,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9487
GOLD-TEMP-014,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-015,Intra-Document Temporal Validation,Hard,hybrid_temporal,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9487
GOLD-TEMP-016,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-017,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9487
GOLD-TEMP-018,Intra-Document Temporal Validation,Hard,hybrid_temporal,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-019,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9482
GOLD-TEMP-020,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-021,Intra-Document Temporal Validation,Hard,hybrid_temporal,2026,2,11,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.8167,0.8541,0.863
GOLD-TEMP-022,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-023,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9487
GOLD-TEMP-024,Intra-Document Temporal Validation,Hard,hybrid_temporal,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-026,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-027,Intra-Document Temporal Validation,Hard,hybrid_temporal,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9487
GOLD-TEMP-029,Intra-Document Temporal Validation,Easy,multi_hop,2026,2,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,1.0,0.65,0.9355,0.9487,0.9482
GOLD-TEMP-030,Intra-Document Temporal Validation,Hard,hybrid_temporal,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-TEMP-032,Intra-Document Temporal Validation,Medium,multi_hop,1962,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.5,0.25,1.0,1.0,1.0
GOLD-PROC-001,Procedural / Condition Matching,Medium,multi_hop,1962,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,1.0,1.0,1.0
GOLD-PROC-002,Procedural / Condition Matching,Easy,simple_semantic,1962,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,1.0,1.0,1.0
GOLD-PROC-003,Procedural / Condition Matching,Easy,simple_semantic,2026,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.2,0.1,0.05,1.0,1.0,1.0
GOLD-PROC-005,Procedural / Condition Matching,Medium,simple_semantic,1962,2,12,1,0.1429,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.1,1.0,1.0,0.7,0.4748,0.6675,0.7667
GOLD-PROC-006,Procedural / Condition Matching,Hard,multi_hop,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-007,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-008,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-010,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-011,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-014,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-016,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-017,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-018,Procedural / Condition Matching,Hard,multi_hop,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-019,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-020,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-022,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-023,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-024,Procedural / Condition Matching,Hard,multi_hop,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-025,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-026,Procedural / Condition Matching,Medium,simple_semantic,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-027,Procedural / Condition Matching,Hard,multi_hop,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-029,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
GOLD-PROC-030,Procedural / Condition Matching,Hard,multi_hop,2026,2,14,1,0.1429,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.8,0.4748,0.7416,0.7842
GOLD-PROC-031,Procedural / Condition Matching,Easy,simple_semantic,1962,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.7,0.45,0.9578,0.8463,0.9091
